chantlink,incipit,cantus_id,mode,siglum,position,folio,sequence,feast,feast_code,genre,office,srclink,melody_id,full_text,melody,db,image
https://cantusdatabase.org/chant/245439,Omnibus se invocantibus benignus adest,004141,4,A-Gu 29,2.6,215r,,Nicolai,14120600,A,M,https://cantusdatabase.org/source/123610,,Omnibus se invocantibus benignus adest sanctus Nicolaus gloria tibi trinitas deus,,CD,https://unipub.uni-graz.at/obvugrscript/content/pageview/6705437
https://cantusdatabase.org/chant/245471,Omnibus se*,004141,*,A-Gu 29,,218v,,Nicolai,14120600,A,N,https://cantusdatabase.org/source/123610,,Omnibus se*,,CD,https://unipub.uni-graz.at/obvugrscript/content/pageview/6705444
https://cantusdatabase.org/chant/252176,Omnibus se invocantibus benignus adest,004141,4,A-Gu 30,2.6,333r,,Nicolai,14120600,A,M,https://cantusdatabase.org/source/123611,,Omnibus se invocantibus benignus adest sanctus Nicolaus gloria tibi trinitas deus,,CD,https://unipub.uni-graz.at/obvugrscript/content/pageview/6789998
https://cantusdatabase.org/chant/252212,Omnibus se invocantibus*,004141,*,A-Gu 30,,336r,,Nicolai,14120600,A,N,https://cantusdatabase.org/source/123611,,Omnibus se invocantibus*,,CD,https://unipub.uni-graz.at/obvugrscript/content/pageview/6790004
https://cantusdatabase.org/chant/338637,Omnibus se invocantibus,004141,*,A-LIb 290,2.6,288v,,Nicolai,14120600,A,M,https://cantusdatabase.org/source/123617,,,,CD,https://digi.landesbibliothek.at/viewer/image/290/580/
https://cantusdatabase.org/chant/548683,Omnibus se invocantibus benignus adest,004141,4,A-Wn Cod. 1890,2.6,007v,,Nicolai,14120600,A,M,https://cantusdatabase.org/source/123713,,Omnibus se invocantibus benignus adest sanctus Nicolaus gloria tibi trinitas deus,,CD,https://digital.onb.ac.at/RepViewer/viewer.faces?doc=DTL_2976033&order=1&view=SINGLE
https://cantusdatabase.org/chant/231265,Omnibus se invocantibus benignus adest,004141,4,CH-E 611,2.6,157v,,Nicolai,14120600,A,M,https://cantusdatabase.org/source/123606,,Omnibus se invocantibus benignus adest sanctus Nicolaus gloria tibi trinitas deus,1---fE--de--fdc---dc---d--ef--g--de--e---dh--hG--g---hk--hg-gfe---e--g---gh--hgfe--de--e77---efg--fe--d---g--f---gh--gfe--dE---e--e---4---h--g--h--k--g--e---3,CD,http://www.e-codices.unifr.ch/en/sbe/0611/157v/small
https://cantusbohemiae.cz/chant/28023,Omnibus se invocantibus benignus adest sanctus ,004141,4,CZ-Pu (Praha) XIV C 20,2.6,198r,,Nicolai,14120600,A,M,https://cantusbohemiae.cz/source/9137,,Omnibus se invocantibus benignus adest sanctus Nicolaus gloria tibi trinitas deus,,FCB,
https://cantusdatabase.org/chant/461832,Omnibus se invocantibus,004141,,CZ-Pu VI.E.4c,2.6,045v,,Nicolai,14120600,A,M,https://cantusdatabase.org/source/123727,,Omnibus se invocantibus benignus adest sanctus Nicolaus gloria tibi trinitas deus,,CD,
https://cantusdatabase.org/chant/467788,Omnibus se invocantibus,004141,4,CZ-Pu XIV B 13,2.6,060r,,Nicolai,14120600,A,M,https://cantusdatabase.org/source/123730,,,,CD,https://imagines.manuscriptorium.com/loris/AIPDIG-NKCR__XIV_B_13____2P77ZSF-cs/ID0060r/full/full/0/default.jpg
https://cantusdatabase.org/chant/614844,Omnibus se invocantibus benignus adest,004141,4,D-KA Aug. LX,2.6,004r,,Nicolai,14120600,A,M,https://cantusdatabase.org/source/123612,,Omnibus se invocantibus benignus adest sanctus Nicolaus gloria tibi trinitas deus,1---fE--de--fdc---dc---d--f7--g--de--e---dh--h--g---hk--hg-gfe---dE--f---gh--hgfe-de--e---efg--fe--dc---g--f---gh--gfe--dE---e--e---4---h--g--h--k--g--e---3,CD,http://digital.blb-karlsruhe.de/blbhs/content/pageview/1253181
https://cantusdatabase.org/chant/434985,Omnibus se invocantibus,004141,4,D-Sl HB.I.55,2.6,149v,,Nicolai,14120600,A,M,https://cantusdatabase.org/source/123637,,,,CD,
http://musmed.eu/chant/118468,Humiliamini sub potenti manu dei ut ,a01149,,F-Pn Lat. 17436,,028r,,Pro paenitentibus,16038030,A,,http://musmed.eu/source/13502,,Humiliamini sub potenti manu dei ut vos exaltet in tempore visitationis omnem sollicitudinem vestram proicientes in eum quoniam ipsi cura est de nobis,,MMMO,https://gallica.bnf.fr/ark:/12148/btv1b8426787t/f61.item.zoom
https://cantusdatabase.org/chant/243531,O Emmanuel rex et legifer,004025,2,A-Gu 29,7M,033r,,Antiphonae Majores,1048010,A,V,https://cantusdatabase.org/source/123610,,O Emmanuel rex et legifer noster exspectatio gentium et salvator earum veni ad salvandum nos domine deus noster,,CD,https://unipub.uni-graz.at/obvugrscript/content/pageview/6705074
https://cantusdatabase.org/chant/295101,O Emmanuel rex et legifer,004025,2,A-KN CCl 1010,7M,012v,,Antiphonae Majores,1048010,A,V,https://cantusdatabase.org/source/123653,,,,CD,http://www.ksbm.oeaw.ac.at/images/AT/5000/AT5000-1010/AT5000-1010_12v.jpg
https://cantusdatabase.org/chant/297587,O Emmanuel rex et legifer,004025,2,A-KN CCl 1011,7M,024r,,Antiphonae Majores,1048010,A,V,https://cantusdatabase.org/source/123654,,,,CD,http://www.ksbm.oeaw.ac.at/images/AT/5000/AT5000-1011/AT5000-1011_24r.jpg
https://cantusdatabase.org/chant/287270,O Emmanuel rex et legifer ,004025,2,A-KN CCl 1013,7M,019v,,Antiphonae Majores,1048010,A,V,https://cantusdatabase.org/source/123614,,O Emmanuel rex et legifer noster exspectatio gentium et salvator earum veni ad salvandum nos domine deus noster,,CD,http://www.ksbm.oeaw.ac.at/images/AT/5000/AT5000-1013/AT5000-1013_19v.jpg
https://cantusdatabase.org/chant/300380,O Emmanuel rex et legifer,004025,2,A-KN CCl 1015,7M,029v,,Antiphonae Majores,1048010,A,V,https://cantusdatabase.org/source/123655,,,,CD,http://manuscripta.at/diglit/AT5000-1015/063
https://cantusdatabase.org/chant/290051,O Emmanuel rex et legifer,004025,2,A-KN CCl 1017,7M,016v,,Antiphonae Majores,1048010,A,V,https://cantusdatabase.org/source/123615,,,,CD,
https://cantusdatabase.org/chant/305734,O Emmanuel rex et legifer,004025,?,A-KR VI/258,7M,004v,,Antiphonae Majores,1048010,A,V,https://cantusdatabase.org/source/123660,,,,CD,
https://cantusdatabase.org/chant/335600,O Emmanuel rex et legifer,004025,?,A-LIb 290,8M,109v,,Antiphonae Majores,1048010,A,V2,https://cantusdatabase.org/source/123617,,,,CD,https://digi.landesbibliothek.at/viewer/image/290/220/
https://cantusdatabase.org/chant/437323,O Emmanuel rex et legifer,004025,2?,A-SF XI 480,7M,009r,,Antiphonae Majores,1048010,A,V,https://cantusdatabase.org/source/123658,,,,CD,
