id,name,description,mass_or_office
genre_?,[?],"Unknown, ambiguous, unidentifiable, illegible","['Mass', 'Office']"
genre_a,A,Antiphon,['Office']
genre_acc,ACC,Ad accedentes,['Mass']
genre_accv,ACCV,Ad accedentes verse,['Mass']
genre_ag,Ag,Agnus dei,['Mass']
genre_al,Al,Alleluia,['Mass']
genre_all,ALL,Alleluaticus,['Mass']
genre_allv,ALLV,Alleluaticus verse,['Mass']
genre_alv,AlV,Alleluia verse,['Mass']
genre_ant,ANT,Antiphon (Hispanic rite),['Mass/Office']
genre_antv,ANTV,Antiphon verse (Hispanic rite),['Mass/Office']
genre_ap,AP,Processuinal antiphon,['Mass/Office']
genre_av,AV,Antiphon verse,['Office']
genre_bd,BD,Benedicamus domino,"['Mass', 'Office']"
genre_bnmt,BNMT,Benedictiones (matutinum),['Office']
genre_bnmtv,BNMTV,Benedictiones (matutinum) verse,['Office']
genre_bnof,BNOF,Benedictiones (office),['Office']
genre_bnofv,BNOFV,Benedictiones (office) verse,['Office']
genre_bns,BNS,Benedictiones (mass),['Mass']
genre_bnsv,BNSV,Benedictiones (mass) verse,['Mass']
genre_ca,Ca,Canticle,"['Mass', 'Office']"
genre_cah,CaH,Canticle (Hispanic rite),['Mass/Office']
genre_cap,Cap,Capitulum,['Office']
genre_cav,CaV,Canticle verse,"['Mass', 'Office']"
genre_cavh,CaVH,Canticle verse (Hispanic rite),"['Mass', 'Office']"
genere_cfp,CFP,Ad confractionem panis,['Mass']
genere_cfpv,CFPV,Ad confractionem panis verse,['Mass']
genre_clm,CLM,Clamores (mass),['Mass']
genre_clmo,CLMO,Clamores (office),['Office']
genre_clmov,CLMOV,Clamores (office) verse,['Office']
genre_clmv,CLMV,Clamores (mass) verse,['Mass']
genre_cm,Cm,Communion,['Mass']
genre_cmr,CmR,Versus ad repetendum for the communion,['Mass']
genre_cmv,CmV,Communion verse,['Mass']
genre_cn,Cn,"Cantio, Cantiones (paraliturgical sacred songs with poetic and often strophic Latin or vernacular texts)",['Mass/Office']
genre_cnv,CnV,"Cantio Verse (strophe of paraliturgical sacred poetic text) ",
genre_cr,Cr,Credo,['Mass']
genre_d,D,Dramatic element (used for items of liturgical drama that are not otherwise rubricked),"['Mass', 'Office']"
genre_g,[G],Mass chant (a generic code used in the earliest Cantus indices),['Mass']
genre_gl,Gl,Gloria,['Mass']
genre_gr,Gr,Gradual,['Mass']
genre_grc,GRC,Graecus,['Mass']
genre_grv,GrV,Gradual verse,['Mass']
genre_gv,[GV],Verse for a Mass chant (a generic code used in the earliest Cantus indices),['Mass']
genre_h,H,Hymn,['Office']
genre_hv,HV,Hymn verse,['Office']
genre_i,I,Invitatory antiphon,['Office']
genre_ig,Ig,Ingressa (for the Beneventan liturgy),['Office']
genre_in,In,Introit,['Mass']
genre_inr,InR,Versus ad repetendum for the introit,['Mass']
genre_inv,InV,Introit verse,['Mass']
genre_ip,IP,Invitatory psalm (when fully written out and notated),['Office']
genre_ite,Ite,Ite missa est,['Mass']
genre_ky,Ky,Kyrie,['Mass']
